size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,mostQueried,resourceFromUser
90000,281,110,93,0,16,0,562
90000,250,94,94,0,16,0,531
90000,250,94,93,16,0,0,562
90000,250,93,110,0,15,0,516
90000,203,94,110,0,0,0,718
90000,250,94,109,16,0,0,593
90000,250,110,94,16,0,0,640
90000,266,110,93,0,0,0,687
95000,266,93,110,16,0,0,703
95000,281,110,109,15,0,0,625
95000,265,93,110,0,16,0,594
95000,281,94,125,15,16,0,562
95000,250,94,110,16,0,0,609
95000,297,110,109,0,16,0,546
95000,281,109,110,0,16,0,734
95000,296,109,109,0,0,16,672
95000,266,93,110,15,0,0,688
95000,281,109,110,0,16,0,719
100000,187,109,110,16,0,0,656
100000,171,109,109,0,16,0,594
100000,188,110,124,31,0,0,578
100000,203,111,123,16,0,0,609
100000,188,109,125,15,32,0,859
100000,187,109,110,16,0,0,703
100000,266,110,109,0,0,0,671
100000,187,109,109,0,0,0,610
100000,297,109,109,0,16,0,703
100000,297,110,109,15,0,0,875
105000,297,109,125,15,0,0,672
105000,235,125,110,15,0,0,609
105000,109,110,124,0,0,0,625
105000,265,125,109,16,0,0,609
105000,187,110,125,0,16,0,796
105000,281,109,125,0,0,0,750
105000,312,125,109,16,0,0,687
105000,281,109,125,0,16,0,625
105000,328,124,125,0,16,0,719
105000,188,125,110,0,15,0,781
110000,250,125,125,16,0,0,703
110000,297,125,125,0,16,0,656
110000,312,110,125,0,0,0,906
110000,313,125,125,0,0,15,875
110000,172,109,125,15,0,0,828
110000,328,125,125,0,0,0,766
110000,235,110,140,15,0,0,703
110000,313,141,125,0,15,0,641
110000,297,125,125,0,0,15,766
110000,171,110,125,0,0,0,828
115000,187,141,125,16,31,0,797
115000,328,125,125,15,0,0,875
115000,172,125,140,0,15,0,891
115000,297,125,125,15,0,0,828
115000,172,125,125,0,0,0,781
115000,328,125,141,16,0,0,750
115000,157,125,140,15,0,0,719
115000,328,125,140,0,16,0,687
115000,328,141,125,15,0,0,781
115000,172,125,141,16,0,0,843
120000,266,125,141,0,15,0,703
120000,312,125,141,16,0,0,906
120000,343,125,141,16,0,0,921
120000,172,140,141,15,0,0,844
120000,266,125,141,15,0,0,797
